date,season,venue,team1,team2,toss_winner,toss_decision,winner
2023-01-13,2022/23,Sydney Showground Stadium,Sydney Thunder,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2023-01-14,2022/23,Adelaide Oval,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,field,Brisbane Heat
2023-01-14,2022/23,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Renegades
2023-01-15,2022/23,Sydney Cricket Ground,Sydney Sixers,Perth Scorchers,Perth Scorchers,field,Sydney Sixers
2023-01-15,2022/23,"Bellerive Oval, Hobart",Sydney Thunder,Hobart Hurricanes,Sydney Thunder,bat,Hobart Hurricanes
2023-01-16,2022/23,Melbourne Cricket Ground,Melbourne Stars,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
2023-01-17,2022/23,"International Sports Stadium, Coffs Harbour",Sydney Sixers,Adelaide Strikers,Adelaide Strikers,field,Sydney Sixers
2023-01-18,2022/23,Perth Stadium,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers
2023-01-19,2022/23,"Manuka Oval, Canberra",Melbourne Renegades,Sydney Thunder,Melbourne Renegades,bat,Sydney Thunder
2023-01-20,2022/23,Adelaide Oval,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,bat,Perth Scorchers
2023-01-20,2022/23,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,field,Brisbane Heat
2023-01-21,2022/23,Sydney Cricket Ground,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Sixers
2023-01-22,2022/23,Perth Stadium,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Perth Scorchers
2023-01-22,2022/23,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Melbourne Stars,Brisbane Heat,bat,Brisbane Heat
2023-01-23,2022/23,"Bellerive Oval, Hobart",Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,field,Sydney Sixers
2023-01-24,2022/23,"Docklands Stadium, Melbourne",Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
2023-01-25,2022/23,"University of Tasmania Stadium, Launceston",Hobart Hurricanes,Brisbane Heat,Brisbane Heat,field,Hobart Hurricanes
2023-01-25,2022/23,Melbourne Cricket Ground,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
2023-01-27,2022/23,Sydney Showground Stadium,Brisbane Heat,Sydney Thunder,Sydney Thunder,field,Brisbane Heat
