team1,team2,winner,toss_winner,toss_decision,venue,date,season
Leicestershire,Yorkshire,Yorkshire,Leicestershire,field,Grace Road,2019-07-23,2019
Surrey,Middlesex,Middlesex,Middlesex,bat,Kennington Oval,2019-07-23,2019
Sussex,Hampshire,Sussex,Hampshire,field,"County Ground, Hove",2019-07-24,2019
Birmingham Bears,Derbyshire,Birmingham Bears,Derbyshire,field,Edgbaston,2019-07-24,2019
Nottinghamshire,Northamptonshire,Nottinghamshire,Northamptonshire,bat,Trent Bridge,2019-07-24,2019
Yorkshire,Lancashire,Lancashire,Lancashire,bat,Headingley,2019-07-25,2019
Surrey,Glamorgan,Surrey,Glamorgan,field,Kennington Oval,2019-07-25,2019
Gloucestershire,Middlesex,Gloucestershire,Middlesex,bat,College Ground,2019-07-25,2019
Sussex,Surrey,,Surrey,field,"County Ground, Hove",2019-07-26,2019
Derbyshire,Nottinghamshire,Nottinghamshire,Derbyshire,field,County Ground,2019-07-26,2019
Glamorgan,Middlesex,Middlesex,Middlesex,field,Sophia Gardens,2019-07-26,2019
Kent,Essex,Kent,Kent,bat,St Lawrence Ground,2019-07-26,2019
Somerset,Hampshire,Hampshire,Hampshire,field,The Cooper Associates County Ground,2019-07-26,2019
Leicestershire,Durham,Durham,Leicestershire,bat,Grace Road,2019-07-26,2019
Northamptonshire,Birmingham Bears,Northamptonshire,Birmingham Bears,field,County Ground,2019-07-26,2019
Lancashire,Worcestershire,Lancashire,Worcestershire,bat,Old Trafford,2019-07-26,2019
Nottinghamshire,Leicestershire,Leicestershire,Nottinghamshire,field,Trent Bridge,2019-07-27,2019
Worcestershire,Durham,Worcestershire,Worcestershire,field,"County Ground, New Road",2019-07-28,2019
Somerset,Sussex,Sussex,Somerset,field,The Cooper Associates County Ground,2019-07-28,2019
Surrey,Kent,Kent,Kent,field,Kennington Oval,2019-07-30,2019
Worcestershire,Derbyshire,Worcestershire,Worcestershire,field,"County Ground, New Road",2019-07-31,2019
Durham,Leicestershire,Durham,Durham,field,Riverside Ground,2019-07-31,2019
Essex,Hampshire,Hampshire,Hampshire,field,County Ground,2019-08-01,2019
Middlesex,Kent,Kent,Middlesex,field,Lord's,2019-08-01,2019
Glamorgan,Gloucestershire,,Gloucestershire,field,Sophia Gardens,2019-08-01,2019
Hampshire,Glamorgan,Hampshire,Hampshire,bat,The Rose Bowl,2019-08-02,2019
Durham,Lancashire,Lancashire,Durham,bat,Riverside Ground,2019-08-02,2019
Gloucestershire,Essex,Essex,Essex,bat,County Ground,2019-08-02,2019
Northamptonshire,Derbyshire,Derbyshire,Northamptonshire,bat,County Ground,2019-08-02,2019
Nottinghamshire,Birmingham Bears,Nottinghamshire,Nottinghamshire,bat,Trent Bridge,2019-08-02,2019
Sussex,Kent,Sussex,Sussex,field,"County Ground, Hove",2019-08-02,2019
Yorkshire,Worcestershire,Worcestershire,Yorkshire,bat,Headingley,2019-08-02,2019
Somerset,Surrey,Somerset,Somerset,field,The Cooper Associates County Ground,2019-08-02,2019
Lancashire,Nottinghamshire,Lancashire,Lancashire,bat,Old Trafford,2019-08-03,2019
Kent,Hampshire,Kent,Kent,field,The Kent County Cricket Ground,2019-08-04,2019
Middlesex,Somerset,Middlesex,Somerset,field,Old Deer Park,2019-08-04,2019
Gloucestershire,Sussex,Sussex,Sussex,field,County Ground,2019-08-04,2019
Yorkshire,Birmingham Bears,,Yorkshire,field,Headingley,2019-08-04,2019
Worcestershire,Leicestershire,Leicestershire,Worcestershire,field,"County Ground, New Road",2019-08-04,2019
Sussex,Glamorgan,Sussex,Glamorgan,bat,"County Ground, Hove",2019-08-06,2019
Leicestershire,Birmingham Bears,Leicestershire,Leicestershire,bat,Grace Road,2019-08-07,2019
Northamptonshire,Durham,Northamptonshire,Durham,field,County Ground,2019-08-07,2019
Essex,Somerset,Somerset,Somerset,bat,County Ground,2019-08-07,2019
Gloucestershire,Kent,Gloucestershire,Gloucestershire,field,County Ground,2019-08-07,2019
Middlesex,Surrey,Middlesex,Surrey,field,Lord's,2019-08-08,2019
Derbyshire,Durham,Durham,Durham,bat,County Ground,2019-08-09,2019
Glamorgan,Essex,,Glamorgan,field,Sophia Gardens,2019-08-09,2019
Hampshire,Somerset,Somerset,Hampshire,field,The Rose Bowl,2019-08-09,2019
Surrey,Gloucestershire,Gloucestershire,Gloucestershire,bat,Kennington Oval,2019-08-09,2019
Sussex,Middlesex,Sussex,Sussex,field,"County Ground, Hove",2019-08-09,2019
Birmingham Bears,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Edgbaston,2019-08-09,2019
Leicestershire,Northamptonshire,,Leicestershire,bat,Grace Road,2019-08-09,2019
Somerset,Kent,Somerset,Somerset,bat,The Cooper Associates County Ground,2019-08-10,2019
Yorkshire,Derbyshire,Derbyshire,Yorkshire,field,Headingley,2019-08-11,2019
Middlesex,Gloucestershire,Middlesex,Gloucestershire,bat,Radlett Cricket Club,2019-08-11,2019
Glamorgan,Surrey,Surrey,Surrey,field,Sophia Gardens,2019-08-11,2019
Birmingham Bears,Lancashire,Birmingham Bears,Birmingham Bears,bat,Edgbaston,2019-08-11,2019
Gloucestershire,Hampshire,Gloucestershire,Hampshire,bat,County Ground,2019-08-13,2019
Derbyshire,Worcestershire,Derbyshire,Derbyshire,bat,County Ground,2019-08-13,2019
Northamptonshire,Lancashire,Lancashire,Lancashire,field,County Ground,2019-08-14,2019
Durham,Worcestershire,Worcestershire,Durham,field,Riverside Ground,2019-08-15,2019
Surrey,Sussex,Surrey,Sussex,field,Kennington Oval,2019-08-15,2019
Derbyshire,Leicestershire,Leicestershire,Leicestershire,bat,County Ground,2019-08-15,2019
Middlesex,Hampshire,Hampshire,Hampshire,field,Lord's,2019-08-22,2019
Sussex,Essex,Essex,Sussex,field,"County Ground, Hove",2019-08-22,2019
Kent,Surrey,Surrey,Surrey,bat,St Lawrence Ground,2019-08-23,2019
Durham,Yorkshire,Yorkshire,Durham,field,Riverside Ground,2019-08-23,2019
Birmingham Bears,Worcestershire,Worcestershire,Birmingham Bears,bat,Edgbaston,2019-08-23,2019
Derbyshire,Northamptonshire,Derbyshire,Northamptonshire,bat,County Ground,2019-08-23,2019
Leicestershire,Nottinghamshire,Nottinghamshire,Leicestershire,bat,Grace Road,2019-08-23,2019
Gloucestershire,Somerset,Gloucestershire,Somerset,field,County Ground,2019-08-23,2019
Middlesex,Sussex,Sussex,Middlesex,bat,Uxbridge Cricket Club Ground,2019-08-24,2019
Somerset,Glamorgan,Somerset,Glamorgan,field,The Cooper Associates County Ground,2019-08-24,2019
Birmingham Bears,Northamptonshire,Northamptonshire,Birmingham Bears,bat,Edgbaston,2019-08-25,2019
Nottinghamshire,Yorkshire,Nottinghamshire,Nottinghamshire,bat,Trent Bridge,2019-08-25,2019
Worcestershire,Lancashire,Lancashire,Worcestershire,field,"County Ground, New Road",2019-08-25,2019
Leicestershire,Derbyshire,Derbyshire,Leicestershire,bat,Grace Road,2019-08-25,2019
Hampshire,Essex,,Hampshire,field,The Rose Bowl,2019-08-25,2019
Glamorgan,Sussex,Sussex,Glamorgan,bat,Sophia Gardens,2019-08-26,2019
Lancashire,Derbyshire,Derbyshire,Derbyshire,bat,Old Trafford,2019-08-26,2019
Surrey,Somerset,Surrey,Somerset,bat,Kennington Oval,2019-08-27,2019
Durham,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,Riverside Ground,2019-08-27,2019
Yorkshire,Northamptonshire,Yorkshire,Yorkshire,bat,Headingley,2019-08-29,2019
Kent,Gloucestershire,Gloucestershire,Kent,field,St Lawrence Ground,2019-08-29,2019
Surrey,Essex,Essex,Essex,bat,Kennington Oval,2019-08-29,2019
Hampshire,Middlesex,Hampshire,Middlesex,bat,The Rose Bowl,2019-08-29,2019
Sussex,Gloucestershire,Gloucestershire,Gloucestershire,field,"County Ground, Hove",2019-08-30,2019
Somerset,Middlesex,Middlesex,Somerset,bat,The Cooper Associates County Ground,2019-08-30,2019
Lancashire,Leicestershire,Lancashire,Leicestershire,bat,Old Trafford,2019-08-30,2019
Birmingham Bears,Yorkshire,Yorkshire,Birmingham Bears,field,Edgbaston,2019-08-30,2019
Glamorgan,Hampshire,Glamorgan,Glamorgan,bat,Sophia Gardens,2019-08-30,2019
Northamptonshire,Worcestershire,Northamptonshire,Worcestershire,bat,County Ground,2019-08-30,2019
Nottinghamshire,Durham,Durham,Durham,bat,Trent Bridge,2019-08-30,2019
Essex,Kent,Essex,Essex,bat,County Ground,2019-08-30,2019
Lancashire,Essex,Essex,Essex,field,Riverside Ground,2019-09-04,2019
Nottinghamshire,Middlesex,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2019-09-05,2019
Sussex,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, Hove",2019-09-06,2019
Gloucestershire,Derbyshire,Derbyshire,Derbyshire,field,County Ground,2019-09-07,2019
Nottinghamshire,Worcestershire,Worcestershire,Nottinghamshire,field,Edgbaston,2019-09-21,2019
Derbyshire,Essex,Essex,Essex,bat,Edgbaston,2019-09-21,2019
Worcestershire,Essex,Essex,Essex,field,Edgbaston,2019-09-21,2019
Lancashire,Durham,Lancashire,Lancashire,bat,Riverside Ground,2020-08-27,2020
Hampshire,Kent,,Kent,field,St Lawrence Ground,2020-08-27,2020
Middlesex,Essex,,Essex,field,County Ground,2020-08-27,2020
Sussex,Surrey,,Surrey,field,County Ground,2020-08-28,2020
Glamorgan,Gloucestershire,Glamorgan,Gloucestershire,field,County Ground,2020-08-29,2020
Durham,Nottinghamshire,Nottinghamshire,Durham,bat,Riverside Ground,2020-08-29,2020
Leicestershire,Lancashire,,Lancashire,field,Grace Road,2020-08-29,2020
Middlesex,Kent,,Kent,field,Lord's,2020-08-29,2020
Worcestershire,Northamptonshire,Northamptonshire,Northamptonshire,field,"County Ground, New Road",2020-08-29,2020
Essex,Surrey,,Surrey,field,Kennington Oval,2020-08-30,2020
Yorkshire,Derbyshire,Yorkshire,Yorkshire,bat,Headingley,2020-08-30,2020
Northamptonshire,Somerset,Northamptonshire,Somerset,field,County Ground,2020-08-30,2020
Glamorgan,Birmingham Bears,Birmingham Bears,Glamorgan,bat,Sophia Gardens,2020-08-30,2020
Hampshire,Sussex,Sussex,Sussex,field,County Ground,2020-08-30,2020
Gloucestershire,Worcestershire,Gloucestershire,Gloucestershire,bat,"County Ground, New Road",2020-08-31,2020
Yorkshire,Nottinghamshire,Nottinghamshire,Yorkshire,bat,Trent Bridge,2020-08-31,2020
Lancashire,Derbyshire,Lancashire,Lancashire,bat,Headingley,2020-08-31,2020
Leicestershire,Durham,Leicestershire,Leicestershire,bat,Headingley,2020-08-31,2020
Essex,Hampshire,Hampshire,Hampshire,field,County Ground,2020-09-01,2020
Glamorgan,Somerset,Somerset,Somerset,field,The Cooper Associates County Ground,2020-09-01,2020
Surrey,Kent,Kent,Kent,field,St Lawrence Ground,2020-09-01,2020
Northamptonshire,Birmingham Bears,Northamptonshire,Birmingham Bears,field,County Ground,2020-09-01,2020
Middlesex,Sussex,Sussex,Sussex,field,Lord's,2020-09-01,2020
Gloucestershire,Birmingham Bears,Gloucestershire,Birmingham Bears,field,Edgbaston,2020-09-02,2020
Kent,Sussex,Kent,Sussex,field,County Ground,2020-09-03,2020
Middlesex,Essex,Middlesex,Essex,field,Lord's,2020-09-03,2020
Somerset,Worcestershire,Somerset,Worcestershire,field,Edgbaston,2020-09-03,2020
Glamorgan,Northamptonshire,Northamptonshire,Northamptonshire,field,Edgbaston,2020-09-03,2020
Hampshire,Surrey,Surrey,Surrey,field,Kennington Oval,2020-09-03,2020
Yorkshire,Durham,Yorkshire,Durham,field,Riverside Ground,2020-09-04,2020
Derbyshire,Lancashire,Lancashire,Lancashire,field,Aigburth,2020-09-04,2020
Leicestershire,Nottinghamshire,Nottinghamshire,Leicestershire,bat,Trent Bridge,2020-09-04,2020
Birmingham Bears,Somerset,Birmingham Bears,Somerset,field,The Cooper Associates County Ground,2020-09-04,2020
Gloucestershire,Worcestershire,Gloucestershire,Worcestershire,field,County Ground,2020-09-04,2020
Middlesex,Surrey,Surrey,Middlesex,bat,Kennington Oval,2020-09-05,2020
Kent,Essex,Kent,Kent,bat,Kennington Oval,2020-09-05,2020
Sussex,Hampshire,Sussex,Hampshire,field,The Rose Bowl,2020-09-10,2020
Gloucestershire,Northamptonshire,Gloucestershire,Northamptonshire,field,County Ground,2020-09-11,2020
Durham,Derbyshire,Durham,Durham,bat,Riverside Ground,2020-09-11,2020
Yorkshire,Leicestershire,Leicestershire,Leicestershire,field,Grace Road,2020-09-11,2020
Essex,Surrey,Surrey,Essex,bat,County Ground,2020-09-11,2020
Worcestershire,Somerset,Worcestershire,Worcestershire,bat,The Cooper Associates County Ground,2020-09-11,2020
Lancashire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2020-09-11,2020
Birmingham Bears,Glamorgan,Birmingham Bears,Birmingham Bears,bat,Edgbaston,2020-09-11,2020
Middlesex,Hampshire,Middlesex,Middlesex,bat,Lord's,2020-09-12,2020
Kent,Sussex,Sussex,Sussex,field,St Lawrence Ground,2020-09-12,2020
Worcestershire,Birmingham Bears,Birmingham Bears,Worcestershire,bat,"County Ground, New Road",2020-09-13,2020
Nottinghamshire,Derbyshire,Nottinghamshire,Nottinghamshire,bat,Trent Bridge,2020-09-13,2020
Leicestershire,Durham,Durham,Leicestershire,bat,Riverside Ground,2020-09-13,2020
Northamptonshire,Glamorgan,Glamorgan,Northamptonshire,bat,Sophia Gardens,2020-09-13,2020
Gloucestershire,Somerset,Gloucestershire,Somerset,field,The Cooper Associates County Ground,2020-09-13,2020
Surrey,Middlesex,Surrey,Middlesex,field,Lord's,2020-09-14,2020
Essex,Sussex,Essex,Sussex,field,County Ground,2020-09-14,2020
Hampshire,Kent,Kent,Kent,field,The Rose Bowl,2020-09-14,2020
Yorkshire,Lancashire,Lancashire,Yorkshire,bat,Headingley,2020-09-14,2020
Derbyshire,Leicestershire,Derbyshire,Derbyshire,bat,Grace Road,2020-09-15,2020
Gloucestershire,Birmingham Bears,Gloucestershire,Gloucestershire,bat,County Ground,2020-09-15,2020
Worcestershire,Northamptonshire,Worcestershire,Worcestershire,bat,County Ground,2020-09-15,2020
Durham,Yorkshire,Durham,Yorkshire,field,Headingley,2020-09-16,2020
Middlesex,Kent,Middlesex,Kent,field,St Lawrence Ground,2020-09-16,2020
Essex,Hampshire,Essex,Essex,bat,The Rose Bowl,2020-09-16,2020
Somerset,Glamorgan,Somerset,Glamorgan,field,Sophia Gardens,2020-09-16,2020
Sussex,Surrey,Surrey,Surrey,field,Kennington Oval,2020-09-16,2020
Derbyshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2020-09-17,2020
Lancashire,Yorkshire,Lancashire,Lancashire,bat,Old Trafford,2020-09-17,2020
Essex,Kent,Kent,Essex,bat,St Lawrence Ground,2020-09-18,2020
Middlesex,Sussex,Sussex,Sussex,field,County Ground,2020-09-18,2020
Birmingham Bears,Worcestershire,Birmingham Bears,Birmingham Bears,bat,Edgbaston,2020-09-18,2020
Northamptonshire,Somerset,Somerset,Northamptonshire,bat,The Cooper Associates County Ground,2020-09-18,2020
Glamorgan,Gloucestershire,Glamorgan,Glamorgan,bat,Sophia Gardens,2020-09-18,2020
Durham,Lancashire,Durham,Durham,bat,Old Trafford,2020-09-18,2020
Hampshire,Surrey,Surrey,Surrey,field,The Rose Bowl,2020-09-18,2020
Nottinghamshire,Leicestershire,Leicestershire,Nottinghamshire,bat,Grace Road,2020-09-18,2020
Essex,Sussex,Sussex,Sussex,field,County Ground,2020-09-20,2020
Nottinghamshire,Durham,Nottinghamshire,Durham,field,Trent Bridge,2020-09-20,2020
Somerset,Gloucestershire,Gloucestershire,Somerset,bat,County Ground,2020-09-20,2020
Derbyshire,Yorkshire,Yorkshire,Derbyshire,bat,Headingley,2020-09-20,2020
Worcestershire,Glamorgan,Glamorgan,Worcestershire,bat,"County Ground, New Road",2020-09-20,2020
Birmingham Bears,Northamptonshire,Northamptonshire,Birmingham Bears,bat,Edgbaston,2020-09-20,2020
Kent,Surrey,Surrey,Surrey,field,Kennington Oval,2020-09-20,2020
Leicestershire,Lancashire,Leicestershire,Leicestershire,bat,Old Trafford,2020-09-20,2020
Hampshire,Middlesex,Hampshire,Hampshire,bat,The Rose Bowl,2020-09-20,2020
Northamptonshire,Gloucestershire,Gloucestershire,Northamptonshire,bat,County Ground,2020-10-01,2020
Leicestershire,Nottinghamshire,,Nottinghamshire,field,Trent Bridge,2020-10-01,2020
Surrey,Kent,Surrey,Kent,field,Kennington Oval,2020-10-01,2020
Lancashire,Sussex,Lancashire,Sussex,field,County Ground,2020-10-01,2020
Gloucestershire,Surrey,Surrey,Surrey,field,Edgbaston,2020-10-03,2020
Lancashire,Nottinghamshire,Nottinghamshire,Lancashire,bat,Edgbaston,2020-10-04,2020
Surrey,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Edgbaston,2020-10-04,2020
Derbyshire,Lancashire,Lancashire,Derbyshire,bat,"Old Trafford, Manchester",2021-06-09,2021
Worcestershire,Nottinghamshire,,Nottinghamshire,field,"County Ground, New Road, Worcester",2021-06-09,2021
Kent,Hampshire,Kent,Hampshire,field,"St Lawrence Ground, Canterbury",2021-06-09,2021
Somerset,Essex,Essex,Essex,field,"The Cooper Associates County Ground, Taunton",2021-06-09,2021
Birmingham Bears,Yorkshire,Yorkshire,Yorkshire,field,"Headingley, Leeds",2021-06-10,2021
Lancashire,Leicestershire,Lancashire,Lancashire,bat,"Old Trafford, Manchester",2021-06-10,2021
Surrey,Middlesex,Surrey,Middlesex,field,"Lord's, London",2021-06-10,2021
Gloucestershire,Glamorgan,Gloucestershire,Gloucestershire,bat,"Sophia Gardens, Cardiff",2021-06-10,2021
Derbyshire,Leicestershire,Derbyshire,Leicestershire,field,"Grace Road, Leicester",2021-06-11,2021
Birmingham Bears,Nottinghamshire,Birmingham Bears,Nottinghamshire,field,"Trent Bridge, Nottingham",2021-06-11,2021
Somerset,Surrey,Surrey,Surrey,field,"The Cooper Associates County Ground, Taunton",2021-06-11,2021
Hampshire,Essex,Hampshire,Essex,field,"County Ground, Chelmsford",2021-06-11,2021
Gloucestershire,Sussex,Sussex,Sussex,field,"County Ground, Bristol",2021-06-11,2021
Worcestershire,Northamptonshire,Worcestershire,Northamptonshire,field,"County Ground, Northampton",2021-06-11,2021
Kent,Middlesex,Kent,Middlesex,field,"St Lawrence Ground, Canterbury",2021-06-11,2021
Durham,Yorkshire,Durham,Yorkshire,field,"Riverside Ground, Chester-le-Street",2021-06-11,2021
Hampshire,Sussex,Sussex,Hampshire,bat,"County Ground, Hove",2021-06-12,2021
Lancashire,Worcestershire,Worcestershire,Lancashire,bat,"County Ground, New Road, Worcester",2021-06-13,2021
Leicestershire,Durham,Durham,Leicestershire,bat,"Grace Road, Leicester",2021-06-13,2021
Kent,Gloucestershire,Kent,Kent,bat,"St Lawrence Ground, Canterbury",2021-06-13,2021
Essex,Glamorgan,Glamorgan,Glamorgan,field,"Sophia Gardens, Cardiff",2021-06-13,2021
Derbyshire,Birmingham Bears,Birmingham Bears,Derbyshire,bat,"County Ground, Derby",2021-06-13,2021
Nottinghamshire,Northamptonshire,Nottinghamshire,Nottinghamshire,bat,"County Ground, Northampton",2021-06-13,2021
Glamorgan,Surrey,Surrey,Surrey,field,"Kennington Oval, London",2021-06-14,2021
Yorkshire,Leicestershire,Yorkshire,Yorkshire,bat,"Headingley, Leeds",2021-06-15,2021
Nottinghamshire,Durham,Nottinghamshire,Nottinghamshire,bat,"Riverside Ground, Chester-le-Street",2021-06-15,2021
Hampshire,Middlesex,Middlesex,Middlesex,field,"Radlett Cricket Club, Radlett",2021-06-15,2021
Essex,Sussex,Sussex,Sussex,field,"County Ground, Chelmsford",2021-06-15,2021
Somerset,Kent,Somerset,Kent,field,"The Cooper Associates County Ground, Taunton",2021-06-15,2021
Birmingham Bears,Northamptonshire,Birmingham Bears,Birmingham Bears,bat,"County Ground, Northampton",2021-06-15,2021
Derbyshire,Lancashire,Lancashire,Derbyshire,bat,"County Ground, Derby",2021-06-15,2021
Yorkshire,Worcestershire,Yorkshire,Worcestershire,field,"County Ground, New Road, Worcester",2021-06-16,2021
Kent,Glamorgan,Kent,Kent,bat,"Sophia Gardens, Cardiff",2021-06-16,2021
Birmingham Bears,Leicestershire,Birmingham Bears,Leicestershire,field,"Grace Road, Leicester",2021-06-16,2021
Middlesex,Gloucestershire,Gloucestershire,Gloucestershire,field,"Radlett Cricket Club, Radlett",2021-06-17,2021
Surrey,Sussex,,Sussex,field,"Kennington Oval, London",2021-06-17,2021
Lancashire,Durham,Durham,Lancashire,bat,"Riverside Ground, Chester-le-Street",2021-06-17,2021
Northamptonshire,Derbyshire,Derbyshire,Northamptonshire,bat,"County Ground, Derby",2021-06-17,2021
Glamorgan,Middlesex,Glamorgan,Glamorgan,bat,"Sophia Gardens, Cardiff",2021-06-18,2021
Nottinghamshire,Derbyshire,Nottinghamshire,Derbyshire,field,"Trent Bridge, Nottingham",2021-06-18,2021
Durham,Birmingham Bears,Durham,Durham,bat,"Riverside Ground, Chester-le-Street",2021-06-20,2021
Nottinghamshire,Lancashire,,Nottinghamshire,bat,"Old Trafford, Manchester",2021-06-20,2021
Leicestershire,Northamptonshire,Leicestershire,Leicestershire,bat,"County Ground, Northampton",2021-06-20,2021
Kent,Essex,Kent,Essex,field,"St Lawrence Ground, Canterbury",2021-06-20,2021
Yorkshire,Derbyshire,Yorkshire,Derbyshire,field,"Headingley, Leeds",2021-06-20,2021
Surrey,Essex,Essex,Essex,field,"Kennington Oval, London",2021-06-21,2021
Leicestershire,Derbyshire,Leicestershire,Derbyshire,field,"County Ground, Derby",2021-06-22,2021
Worcestershire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"Trent Bridge, Nottingham",2021-06-22,2021
Kent,Gloucestershire,Gloucestershire,Gloucestershire,field,"County Ground, Bristol",2021-06-22,2021
Yorkshire,Worcestershire,Yorkshire,Yorkshire,bat,"Headingley, Leeds",2021-06-23,2021
Durham,Northamptonshire,Northamptonshire,Durham,bat,"Riverside Ground, Chester-le-Street",2021-06-23,2021
Surrey,Somerset,Somerset,Somerset,field,"Kennington Oval, London",2021-06-23,2021
Gloucestershire,Glamorgan,Gloucestershire,Glamorgan,field,"County Ground, Bristol",2021-06-24,2021
Birmingham Bears,Derbyshire,Derbyshire,Derbyshire,field,"Edgbaston, Birmingham",2021-06-24,2021
Middlesex,Essex,Essex,Essex,field,"Lord's, London",2021-06-24,2021
Middlesex,Surrey,Surrey,Surrey,field,"Kennington Oval, London",2021-06-25,2021
Leicestershire,Yorkshire,Leicestershire,Leicestershire,bat,"Grace Road, Leicester",2021-06-25,2021
Nottinghamshire,Derbyshire,,Derbyshire,field,"County Ground, Derby",2021-06-25,2021
Durham,Worcestershire,Worcestershire,Durham,bat,"County Ground, New Road, Worcester",2021-06-25,2021
Somerset,Hampshire,Somerset,Hampshire,field,"The Cooper Associates County Ground, Taunton",2021-06-25,2021
Kent,Essex,Kent,Essex,field,"County Ground, Chelmsford",2021-06-25,2021
Gloucestershire,Sussex,Gloucestershire,Sussex,field,"County Ground, Hove",2021-06-25,2021
Lancashire,Northamptonshire,Northamptonshire,Lancashire,bat,"County Ground, Northampton",2021-06-25,2021
Durham,Birmingham Bears,Durham,Birmingham Bears,field,"Edgbaston, Birmingham",2021-06-26,2021
Yorkshire,Northamptonshire,Yorkshire,Yorkshire,bat,"Headingley, Leeds",2021-06-26,2021
Nottinghamshire,Lancashire,Nottinghamshire,Lancashire,field,"Trent Bridge, Nottingham",2021-06-26,2021
Leicestershire,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road, Worcester",2021-06-27,2021
Glamorgan,Middlesex,Middlesex,Glamorgan,bat,"Radlett Cricket Club, Radlett",2021-06-27,2021
Surrey,Sussex,,Sussex,field,"County Ground, Hove",2021-06-27,2021
Kent,Somerset,Somerset,Somerset,field,St Lawrence Ground,2021-06-28,2021
Glamorgan,Surrey,Glamorgan,Surrey,field,"Sophia Gardens, Cardiff",2021-06-29,2021
Somerset,Essex,Essex,Essex,field,"County Ground, Chelmsford",2021-06-29,2021
Leicestershire,Northamptonshire,Northamptonshire,Leicestershire,bat,"Grace Road, Leicester",2021-06-29,2021
Surrey,Hampshire,Surrey,Hampshire,field,"The Rose Bowl, Southampton",2021-06-30,2021
Yorkshire,Birmingham Bears,Birmingham Bears,Yorkshire,bat,"Edgbaston, Birmingham",2021-06-30,2021
Northamptonshire,Durham,Northamptonshire,Durham,field,"County Ground, Northampton",2021-06-30,2021
Lancashire,Worcestershire,Lancashire,Lancashire,bat,"Old Trafford, Manchester",2021-07-01,2021
Middlesex,Sussex,Middlesex,Sussex,field,"Lord's, London",2021-07-01,2021
Glamorgan,Essex,Essex,Glamorgan,bat,"County Ground, Chelmsford",2021-07-01,2021
Leicestershire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"Trent Bridge, Nottingham",2021-07-01,2021
Gloucestershire,Somerset,Somerset,Somerset,field,"County Ground, Bristol",2021-07-01,2021
Hampshire,Gloucestershire,Hampshire,Hampshire,bat,"The Rose Bowl, Southampton",2021-07-02,2021
Kent,Surrey,Kent,Kent,bat,"St Lawrence Ground, Canterbury",2021-07-02,2021
Nottinghamshire,Birmingham Bears,Nottinghamshire,Birmingham Bears,field,"Edgbaston, Birmingham",2021-07-02,2021
Yorkshire,Lancashire,Yorkshire,Yorkshire,bat,"Headingley, Leeds",2021-07-02,2021
Durham,Leicestershire,Leicestershire,Leicestershire,field,"Riverside Ground, Chester-le-Street",2021-07-02,2021
Sussex,Glamorgan,Sussex,Sussex,bat,"Sophia Gardens, Cardiff",2021-07-02,2021
Derbyshire,Worcestershire,Worcestershire,Worcestershire,bat,County Ground,2021-07-02,2021
Somerset,Middlesex,Somerset,Middlesex,field,"The Cooper Associates County Ground, Taunton",2021-07-02,2021
Yorkshire,Nottinghamshire,Nottinghamshire,Yorkshire,bat,"Trent Bridge, Nottingham",2021-07-09,2021
Hampshire,Somerset,Hampshire,Hampshire,bat,"The Rose Bowl, Southampton",2021-07-09,2021
Gloucestershire,Middlesex,Gloucestershire,Middlesex,field,"College Ground, Cheltenham",2021-07-09,2021
Northamptonshire,Lancashire,Lancashire,Northamptonshire,bat,"Old Trafford, Manchester",2021-07-09,2021
Durham,Derbyshire,Derbyshire,Derbyshire,field,"Riverside Ground, Chester-le-Street",2021-07-09,2021
Worcestershire,Birmingham Bears,Worcestershire,Worcestershire,bat,"County Ground, New Road, Worcester",2021-07-09,2021
Surrey,Kent,Kent,Kent,field,"Kennington Oval, London",2021-07-09,2021
Essex,Sussex,Sussex,Sussex,field,"County Ground, Hove",2021-07-09,2021
Gloucestershire,Surrey,Surrey,Surrey,field,"College Ground, Cheltenham",2021-07-16,2021
Lancashire,Durham,Lancashire,Lancashire,bat,"Old Trafford, Manchester",2021-07-16,2021
Nottinghamshire,Leicestershire,Leicestershire,Leicestershire,field,"Grace Road, Leicester",2021-07-16,2021
Hampshire,Essex,Hampshire,Hampshire,bat,"The Rose Bowl, Southampton",2021-07-16,2021
Kent,Middlesex,Kent,Kent,bat,"Lord's, London",2021-07-16,2021
Sussex,Hampshire,Hampshire,Sussex,bat,"The Rose Bowl, Southampton",2021-07-16,2021
Birmingham Bears,Worcestershire,Birmingham Bears,Birmingham Bears,bat,"Edgbaston, Birmingham",2021-07-16,2021
Somerset,Glamorgan,Somerset,Somerset,bat,"Sophia Gardens, Cardiff",2021-07-16,2021
Yorkshire,Lancashire,Lancashire,Yorkshire,bat,"Old Trafford, Manchester",2021-07-17,2021
