team1,team2,winner,toss_winner,toss_decision,venue,date,season
Warwickshire,Worcestershire,Worcestershire,Worcestershire,field,Edgbaston,2016-05-27,2016
Northamptonshire,Derbyshire,Northamptonshire,Northamptonshire,field,County Ground,2016-05-27,2016
Lancashire,Durham,Durham,Durham,field,Old Trafford,2016-05-27,2016
Yorkshire,Leicestershire,Leicestershire,Yorkshire,field,Headingley,2016-05-27,2016
Middlesex,Hampshire,Middlesex,Hampshire,field,Uxbridge Cricket Club Ground,2016-05-27,2016
Sussex,Somerset,Sussex,Somerset,field,County Ground,2016-06-01,2016
Glamorgan,Essex,Essex,Essex,field,Sophia Gardens,2016-06-01,2016
Durham,Nottinghamshire,Durham,Nottinghamshire,field,Riverside Ground,2016-06-01,2016
Middlesex,Gloucestershire,Gloucestershire,Middlesex,bat,Merchant Taylors' School Ground,2016-06-02,2016
Hampshire,Kent,Hampshire,Kent,field,The Rose Bowl,2016-06-02,2016
Worcestershire,Yorkshire,Worcestershire,Yorkshire,bat,"County Ground, New Road",2016-06-02,2016
Warwickshire,Durham,Warwickshire,Warwickshire,field,Edgbaston,2016-06-03,2016
Somerset,Essex,Somerset,Somerset,field,County Ground,2016-06-03,2016
Glamorgan,Hampshire,Glamorgan,Glamorgan,field,Sophia Gardens,2016-06-03,2016
Derbyshire,Leicestershire,Derbyshire,Derbyshire,field,County Ground,2016-06-03,2016
Sussex,Surrey,Surrey,Surrey,bat,County Ground,2016-06-03,2016
Northamptonshire,Worcestershire,Northamptonshire,Worcestershire,bat,County Ground,2016-06-03,2016
Lancashire,Yorkshire,Lancashire,Yorkshire,field,Old Trafford,2016-06-03,2016
Kent,Gloucestershire,Gloucestershire,Gloucestershire,field,Kent County Cricket Ground,2016-06-03,2016
Leicestershire,Durham,Leicestershire,Leicestershire,field,Grace Road,2016-06-04,2016
Nottinghamshire,Lancashire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2016-06-04,2016
Kent,Hampshire,Kent,Hampshire,field,St Lawrence Ground,2016-06-08,2016
Surrey,Hampshire,Surrey,Surrey,bat,Kennington Oval,2016-06-09,2016
Lancashire,Leicestershire,Lancashire,Lancashire,field,Old Trafford,2016-06-10,2016
Sussex,Kent,Sussex,Sussex,field,County Ground,2016-06-10,2016
Gloucestershire,Glamorgan,Glamorgan,Glamorgan,field,County Ground,2016-06-10,2016
Worcestershire,Northamptonshire,Worcestershire,Worcestershire,field,"County Ground, New Road",2016-06-10,2016
Essex,Middlesex,Middlesex,Middlesex,bat,County Ground,2016-06-10,2016
Somerset,Surrey,Somerset,Surrey,bat,County Ground,2016-06-10,2016
Essex,Gloucestershire,Gloucestershire,Gloucestershire,field,County Ground,2016-06-16,2016
Surrey,Middlesex,Surrey,Middlesex,field,Kennington Oval,2016-06-17,2016
Gloucestershire,Somerset,Gloucestershire,Gloucestershire,field,County Ground,2016-06-17,2016
Northamptonshire,Durham,Northamptonshire,Durham,field,County Ground,2016-06-17,2016
Derbyshire,Warwickshire,Warwickshire,Warwickshire,field,County Ground,2016-06-17,2016
Glamorgan,Kent,Glamorgan,Kent,field,Sophia Gardens,2016-06-17,2016
Worcestershire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"County Ground, New Road",2016-06-18,2016
Yorkshire,Derbyshire,Yorkshire,Yorkshire,field,Headingley,2016-06-19,2016
Somerset,Hampshire,Somerset,Somerset,field,County Ground,2016-06-19,2016
Warwickshire,Lancashire,Warwickshire,Lancashire,field,Edgbaston,2016-06-19,2016
Middlesex,Somerset,Middlesex,Somerset,field,Lord's,2016-06-23,2016
Derbyshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,County Ground,2016-06-24,2016
Glamorgan,Surrey,Glamorgan,Surrey,bat,Sophia Gardens,2016-06-24,2016
Lancashire,Worcestershire,Lancashire,Worcestershire,field,Old Trafford,2016-06-24,2016
Durham,Yorkshire,Durham,Durham,field,Riverside Ground,2016-06-24,2016
Leicestershire,Warwickshire,Warwickshire,Warwickshire,field,Grace Road,2016-06-24,2016
Kent,Middlesex,Middlesex,Middlesex,bat,St Lawrence Ground,2016-06-24,2016
Essex,Hampshire,Essex,Hampshire,bat,County Ground,2016-06-24,2016
Surrey,Essex,Essex,Essex,field,Kennington Oval,2016-06-25,2016
Northamptonshire,Leicestershire,Northamptonshire,Northamptonshire,field,County Ground,2016-06-26,2016
Sussex,Gloucestershire,Gloucestershire,Sussex,field,Arundel Castle Cricket Club Ground,2016-06-26,2016
Kent,Sussex,Kent,Kent,bat,St Lawrence Ground,2016-06-30,2016
Durham,Worcestershire,,Durham,field,Riverside Ground,2016-06-30,2016
Worcestershire,Derbyshire,Derbyshire,Derbyshire,field,"County Ground, New Road",2016-07-01,2016
Somerset,Gloucestershire,Gloucestershire,Gloucestershire,field,County Ground,2016-07-01,2016
Essex,Kent,Essex,Kent,field,County Ground,2016-07-01,2016
Yorkshire,Lancashire,Yorkshire,Lancashire,field,Headingley,2016-07-01,2016
Sussex,Middlesex,Sussex,Sussex,field,County Ground,2016-07-01,2016
Warwickshire,Northamptonshire,Northamptonshire,Northamptonshire,field,Edgbaston,2016-07-01,2016
